iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,16.85346,[1.        0.9500585],48.605682,[1.        0.9500585],48.6426,,165.42186,
1,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,17.350746,[0.9993552 1.       ],47.259876,[0.9993552 1.       ],68.838646,,233.11119,
2,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,20.554535,[0.9999773 1.       ],53.125595,[0.9999773 1.       ],82.38296,,271.40677,
3,4.8350005,[0.9959119 1.       ],10.349829,[0.9959119 1.       ],5.6524343,,13.016984,,23.188568,[1.        0.9998165],58.31111,[1.        0.9998165],94.05838,,306.12775,
4,5.463137,[0.9873101 1.       ],11.270013,[0.9873101 1.       ],6.6804967,,15.20993,,24.797722,[1.        0.9999407],61.44098,[1.        0.9999407],99.94382,,322.68732,
5,5.487917,[0.9956428 1.       ],11.327165,[0.9956428 1.       ],6.817702,,15.627679,,25.51708,[0.99936426 1.        ],62.58743,[0.99936426 1.        ],101.99957,,327.99173,
