,time [s]
initialize,0.00324
pretrain_policy,7.591158
initialize_CEGIS,0.169613
iter0_learner,4.499147
iter0_plot,0.092826
iter0_verifier,0.779531
iter0_process_counterexamples,0.023787
iter1_learner,11.809811
iter1_plot,0.004599
iter1_verifier,0.410232
iter1_process_counterexamples,0.025284
iter2_learner,10.558718
iter2_plot,0.00451
iter2_verifier,0.444216
iter2_process_counterexamples,0.025946
iter3_learner,10.728662
iter3_plot,0.004664
iter3_verifier,0.441698
iter3_process_counterexamples,0.025619
iter4_learner,10.736801
iter4_plot,0.00471
iter4_verifier,0.436368
iter4_process_counterexamples,0.023576
iter5_learner,10.753123
iter5_plot,0.004761
iter5_verifier,0.43213
iter5_process_counterexamples,0.023952
iter6_learner,10.740387
iter6_plot,0.004805
iter6_verifier,0.531609
iter6_process_counterexamples,0.023643
iter7_learner,10.744098
iter7_plot,0.004895
iter7_verifier,0.710063
iter7_process_counterexamples,0.024225
iter8_learner,10.833213
iter8_plot,0.004993
iter8_verifier,0.629373
iter8_process_counterexamples,0.100986
iter9_learner,10.746039
iter9_plot,0.005394
iter9_verifier,0.773996
iter9_process_counterexamples,0.024222
iter10_learner,10.818659
iter10_plot,0.005186
iter10_verifier,53.899776
