,time [s]
initialize,0.003301
pretrain_policy,7.553317
initialize_CEGIS,0.170442
iter0_learner,4.966353
iter0_plot,0.090184
iter0_verifier,2.426734
iter0_process_counterexamples,0.023713
iter1_learner,14.514623
iter1_plot,0.004592
iter1_verifier,12.148993
