,time [s]
initialize,0.198726
pretrain_policy,23.12372
initialize_CEGIS,0.036971
iter0_learner,8.887159
iter0_plot,0.323121
iter0_verifier,9.535012
iter0_process_counterexamples,0.018807
iter1_learner,11.745562
iter1_plot,0.013725
iter1_verifier,0.952575
iter1_process_counterexamples,0.018081
iter2_learner,7.47594
iter2_plot,0.01352
iter2_verifier,2.254846
iter2_process_counterexamples,0.021867
iter3_learner,12.168691
iter3_plot,0.013334
iter3_verifier,1.172544
iter3_process_counterexamples,0.022895
iter4_learner,12.32711
iter4_plot,0.013553
iter4_verifier,1.885075
iter4_process_counterexamples,0.020777
iter5_learner,12.586938
iter5_plot,0.013716
iter5_verifier,3.89884
iter5_process_counterexamples,0.023958
iter6_learner,12.762375
iter6_plot,0.014048
iter6_verifier,44.132057
