iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,22.500809,[0.9994667 0.9995869 1.       ],118.73244,[0.9994667 0.9995869 1.       ],113.54167,,727.91693,
1,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,15.47496,[0.99951476 0.9998413  1.        ],45.109985,[0.99951476 0.9998413  1.        ],191.85785,,1105.7632,
2,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,9.176765,[0.9998168  1.         0.99680877],16.552479,[0.9998168  1.         0.99680877],216.02962,,1173.5642,
3,0.8019436,[1.         0.999926   0.99990517],2.5664814,[1.         0.999926   0.99990517],3.678691,,19.030245,,10.769522,[0.99993855 0.9995585  1.        ],16.617367,[0.99993855 0.9995585  1.        ],242.00015,,1276.765,
4,0.32638907,[0.9997694  1.         0.99988323],0.96766794,[0.9997694  1.         0.99988323],2.9654188,,16.651712,,11.111937,[1.         0.99974227 0.99968976],16.148079,[1.         0.99974227 0.99968976],306.3797,,1594.9117,
5,0.2862365,[0.9998657 0.9999009 1.       ],0.81589353,[0.9998657 0.9999009 1.       ],3.248013,,18.558115,,11.61787,[0.99964136 1.         0.9996881 ],16.174046,[0.99964136 1.         0.9996881 ],380.48898,,1997.2349,
