iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,15.027613,[1.        0.9675447],44.12889,[1.        0.9675447],46.052917,,157.96954,
1,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,9.691156,[1.         0.96517986],27.047335,[1.         0.96517986],42.169605,,145.65865,
2,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,4.935683,[1.         0.99947536],13.942103,[1.         0.99947536],31.860905,,112.52004,
3,4.174725,[1.       0.904954],6.695945,[1.       0.904954],4.962257,,9.110899,,3.3749998,[0.9999375 1.       ],9.45589,[0.9999375 1.       ],26.099005,,92.19687,
4,3.1650083,[1.        0.9701885],5.1645436,[1.        0.9701885],4.024688,,7.8140507,,2.851472,[1.      0.99979],7.7750525,[1.      0.99979],26.690464,,94.388725,
5,2.548304,[1.         0.99983835],4.228481,[1.         0.99983835],3.5042195,,7.1512504,,3.180259,[1.        0.9685125],8.175974,[1.        0.9685125],31.400494,,110.57478,
6,2.04087,[1.         0.99999434],3.4374301,[1.         0.99999434],2.763433,,5.6827106,,4.879595,[1.         0.92915845],11.1696,[1.         0.92915845],40.607143,,138.9949,
7,1.1875482,[0.9998937 1.       ],2.075007,[0.9998937 1.       ],2.0323746,,4.667096,,13.698205,[1.        0.9090635],27.895874,[1.        0.9090635],73.56618,,232.89432,
8,0.59786665,[1.        0.9999327],1.0288447,[1.        0.9999327],1.2267475,,2.97449,,18.768911,[1.        0.8833257],37.970512,[1.        0.8833257],103.46981,,321.47183,
9,0.39060342,[1.        0.9998611],0.64441097,[1.        0.9998611],1.0698208,,2.7567136,,20.149647,[1.         0.89974767],40.817448,[1.         0.89974767],116.46906,,359.16525,
10,0.28355762,[0.9960664 1.       ],0.4926061,[0.9960664 1.       ],1.0121087,,2.7462437,,20.869871,[1.         0.90589947],42.248577,[1.         0.90589947],122.09064,,375.2401,
11,0.32439205,[0.99565625 1.        ],0.55308074,[0.99565625 1.        ],1.0686692,,2.8736348,,20.686499,[1.         0.88873065],41.79989,[1.         0.88873065],121.81252,,375.2225,
