iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,50.18382,[1.         0.97676075 0.9997121 ],265.18738,[1.         0.97676075 0.9997121 ],163.844,,1027.9835,
1,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,18.351864,[0.9994599  0.99988365 1.        ],87.4939,[0.9994599  0.99988365 1.        ],105.58682,,667.9947,
2,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,11.850032,[1.         0.99981856 0.9999809 ],49.892735,[1.         0.99981856 0.9999809 ],94.02385,,590.8327,
3,0.60924,[1.        0.9999404 0.9997814],2.2807143,[1.        0.9999404 0.9997814],1.330032,,6.356373,,8.976818,[0.99999857 0.9998389  1.        ],35.16289,[0.99999857 0.9998389  1.        ],84.42152,,529.06775,
4,0.400662,[1.         0.99993825 0.9997297 ],1.3742743,[1.         0.99993825 0.9997297 ],1.5084152,,7.570588,,7.320857,[0.9999703 0.999985  1.       ],26.541698,[0.9999703 0.999985  1.       ],76.610565,,478.22256,
5,0.42718884,[1.         0.99997467 0.99984556],1.3558478,[1.         0.99997467 0.99984556],1.9343874,,9.605413,,6.797635,[0.9999849 1.        0.9990627],22.415112,[0.9999849 1.        0.9990627],78.21658,,485.3891,
6,0.48564774,[0.99992   1.        0.9999757],1.4671711,[0.99992   1.        0.9999757],2.4992664,,12.32859,,6.223746,[0.99999076 1.         0.9998333 ],19.154491,[0.99999076 1.         0.9998333 ],77.430275,,476.16367,
7,0.47684923,[0.99995434 1.         0.99979866],1.3592879,[0.99995434 1.         0.99979866],2.6651802,,13.025986,,5.927735,[1.         0.999461   0.99924076],17.002268,[1.         0.999461   0.99924076],80.48756,,493.27893,
8,0.5347188,[0.9999792  1.         0.99726945],1.462218,[0.9999792  1.         0.99726945],3.2245538,,15.63433,,5.826488,[1.         0.99886227 0.9833474 ],15.845139,[1.         0.99886227 0.9833474 ],82.282814,,497.8565,
9,0.5324606,[0.9999284 1.        0.9985869],1.3937008,[0.9999284 1.        0.9985869],3.4008126,,16.388798,,5.762397,[1.        0.9995362 0.9677128],15.104284,[1.        0.9995362 0.9677128],86.44672,,521.9929,
