iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,15.127717,[1.         0.96548474],44.66869,[1.         0.96548474],45.940964,,158.67787,
1,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,8.8209,[1.         0.99717784],25.830034,[1.         0.99717784],37.666744,,132.32016,
2,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,4.830527,[1.        0.9998782],14.189179,[1.        0.9998782],29.136448,,103.92647,
3,4.3615956,[1.        0.9725715],6.675922,[1.        0.9725715],5.4065857,,9.735081,,3.3469326,[1.        0.9992716],9.681386,[1.        0.9992716],24.990664,,89.26135,
4,3.366919,[1.        0.9997923],5.2405124,[1.        0.9997923],4.5761375,,8.855191,,2.5624707,[1.         0.99973935],7.250573,[1.         0.99973935],21.764437,,78.03513,
5,2.7383282,[0.99999905 1.        ],4.3314238,[0.99999905 1.        ],3.9646657,,8.0395155,,2.6903524,[1.        0.9942775],7.3260746,[1.        0.9942775],23.338957,,83.01803,
6,2.1774664,[0.9999984 1.       ],3.5126667,[0.9999984 1.       ],3.5211473,,7.604317,,3.179444,[1.         0.97183377],8.006572,[1.         0.97183377],27.345362,,96.322136,
7,1.7043175,[0.9999933 1.       ],2.815403,[0.9999933 1.       ],3.127488,,7.1898546,,5.245592,[1.        0.9553872],11.245361,[1.        0.9553872],30.80756,,103.73261,
8,1.0326581,[0.9998563 1.       ],1.7571441,[0.9998563 1.       ],2.5981483,,6.5859747,,12.170563,[1.        0.8866661],24.227217,[1.        0.8866661],54.55445,,171.55531,
9,0.37210414,[0.9998203 1.       ],0.7261312,[0.9998203 1.       ],2.236874,,6.507819,,20.2049,[1.        0.8482983],39.46513,[1.        0.8482983],100.041855,,305.31372,
10,0.39112025,[0.9999948 1.       ],0.73447543,[0.9999948 1.       ],2.1257517,,6.125381,,21.904463,[1.         0.82227606],43.207092,[1.         0.82227606],109.8329,,333.46527,
11,0.35199216,[1.         0.99997413],0.6589429,[1.         0.99997413],2.047901,,5.9403973,,21.885435,[1.         0.83186346],43.630352,[1.         0.83186346],111.45305,,339.41104,
12,0.36533296,[0.9999777 1.       ],0.6819731,[0.9999777 1.       ],2.0290334,,5.865089,,22.29971,[1.        0.8276592],44.443867,[1.        0.8276592],115.544876,,351.6874,
13,0.34812728,[1.         0.99997467],0.6364045,[1.         0.99997467],1.9072584,,5.481643,,21.42487,[1.        0.8295991],42.964325,[1.        0.8295991],113.53953,,346.77585,
