iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,15.392382,[1.         0.96445704],44.814743,[1.         0.96445704],46.864594,,161.30359,
1,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,8.966107,[1.         0.99796456],26.16176,[1.         0.99796456],38.2827,,134.1002,
2,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,4.9043446,[1.        0.9993398],14.296743,[1.        0.9993398],29.06449,,103.03238,
3,4.2118235,[1.        0.9041507],6.7514224,[1.        0.9041507],5.063751,,9.34609,,3.375924,[1.         0.99922544],9.706461,[1.         0.99922544],25.081354,,89.40402,
4,3.2374735,[1.        0.9637703],5.250698,[1.        0.9637703],4.2017727,,8.185276,,2.5588212,[1.        0.9999303],7.237884,[1.        0.9999303],22.384727,,80.00323,
5,2.4968145,[1.       0.999658],4.1247215,[1.       0.999658],3.4307823,,6.977215,,2.6875837,[1.        0.9978358],7.2634764,[1.        0.9978358],24.75798,,88.047615,
6,1.9810023,[1.        0.9998516],3.3249373,[1.        0.9998516],2.9481802,,6.2701983,,2.9338527,[1.        0.9808427],7.5456734,[1.        0.9808427],27.519653,,97.3121,
7,1.5824622,[1.         0.99995744],2.6821966,[1.         0.99995744],2.3587184,,5.0564246,,4.9785256,[1.        0.9392881],10.498431,[1.        0.9392881],33.68361,,112.46535,
8,0.95265365,[1.        0.9999638],1.6769804,[1.        0.9999638],1.8272291,,4.336656,,12.547368,[1.        0.8931348],24.689777,[1.        0.8931348],58.861736,,185.40033,
9,0.32981005,[0.9999888 1.       ],0.6302918,[0.9999888 1.       ],1.3808857,,3.8510873,,19.778893,[1.        0.8415331],39.70187,[1.        0.8415331],94.25029,,292.94934,
10,0.39418775,[1.         0.99998605],0.72283334,[1.         0.99998605],1.3190137,,3.5598347,,21.868015,[1.        0.8230561],43.959885,[1.        0.8230561],103.11063,,317.55103,
11,0.3515225,[1.         0.99995434],0.6518955,[1.         0.99995434],1.3106295,,3.6113853,,22.418535,[1.        0.8272929],45.22994,[1.        0.8272929],107.32587,,330.90237,
