iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,15.0377445,[1.        0.9666462],44.31592,[1.        0.9666462],45.675243,,158.192,
1,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,9.044391,[1.        0.9931805],26.118456,[1.        0.9931805],39.49593,,137.6313,
2,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,4.8182626,[1.        0.9996826],13.961805,[1.        0.9996826],30.646206,,108.930374,
3,4.2815685,[1.        0.9159972],6.7552466,[1.        0.9159972],5.292707,,9.745446,,3.4175954,[1.         0.99984396],9.750343,[1.         0.99984396],26.99177,,96.45325,
4,3.2560778,[1.        0.9817271],5.2077026,[1.        0.9817271],4.3831005,,8.549075,,2.8405101,[1.         0.99986947],7.8778615,[1.         0.99986947],24.778364,,88.36981,
5,2.6028047,[1.        0.9998742],4.2229714,[1.        0.9998742],3.7671998,,7.681019,,3.1955209,[1.         0.99402183],8.422314,[1.         0.99402183],27.55327,,97.511955,
6,2.01413,[1.       0.999955],3.3278427,[1.       0.999955],3.1913056,,6.8185754,,4.099559,[1.        0.9713232],9.67185,[1.        0.9713232],33.40295,,115.631065,
7,1.4021738,[0.9999269 1.       ],2.3903072,[0.9999269 1.       ],2.6252332,,6.059556,,7.279219,[1.        0.9330938],15.850647,[1.        0.9330938],39.439114,,129.7651,
8,0.4384735,[0.9997816 1.       ],0.8566199,[0.9997816 1.       ],2.0425901,,5.7422924,,16.932224,[1.        0.8513148],34.165222,[1.        0.8513148],81.33144,,250.39542,
9,0.328288,[0.9999435 1.       ],0.61716515,[0.9999435 1.       ],1.5589811,,4.385381,,20.951889,[1.         0.81635135],42.524685,[1.         0.81635135],98.30235,,298.43298,
10,0.35229248,[0.9999988 1.       ],0.65602785,[0.9999988 1.       ],1.5712347,,4.389213,,21.37383,[1.        0.8035706],43.4224,[1.        0.8035706],103.78427,,316.32425,
11,0.3197353,[0.9999664 1.       ],0.5951238,[0.9999664 1.       ],1.5503967,,4.3746157,,21.389215,[1.        0.8092096],43.461548,[1.        0.8092096],104.72352,,320.10764,
