iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,15.0142975,[1.         0.96791214],44.032024,[1.         0.96791214],46.051548,,157.87663,
1,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,9.6107855,[1.        0.9669478],26.753946,[1.        0.9669478],41.059444,,141.73682,
2,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,4.8791757,[1.        0.9999073],13.752094,[1.        0.9999073],30.658707,,108.11897,
3,4.340937,[1.        0.9701925],6.6510167,[1.        0.9701925],5.335747,,9.553931,,3.3390925,[1.         0.99985677],9.3614435,[1.         0.99985677],25.061392,,88.769066,
4,3.3284988,[1.        0.9999643],5.203469,[1.        0.9999643],4.5185385,,8.768277,,2.7935703,[1.         0.99942434],7.625359,[1.         0.99942434],25.896814,,91.4088,
5,2.7161012,[1.        0.9999832],4.319798,[1.        0.9999832],3.8840687,,7.884826,,2.9484074,[1.        0.9739307],7.647072,[1.        0.9739307],29.67084,,104.4248,
6,2.1493857,[1.         0.99999696],3.5006242,[1.         0.99999696],3.475246,,7.5733776,,4.2144823,[1.         0.94209665],9.716914,[1.         0.94209665],37.157818,,127.93982,
7,1.3551658,[0.9999198 1.       ],2.3106596,[0.9999198 1.       ],2.8061175,,6.8258348,,11.203426,[1.         0.90844434],22.670115,[1.         0.90844434],64.415985,,206.94426,
8,0.5290805,[0.99993014 1.        ],0.9569043,[0.99993014 1.        ],1.9872367,,5.4784207,,17.773527,[1.        0.8777961],36.860283,[1.        0.8777961],108.648834,,347.21375,
9,0.37129372,[1.         0.99990875],0.6826083,[1.         0.99990875],1.7401431,,4.9175305,,20.292896,[1.         0.87280154],41.566566,[1.         0.87280154],124.870415,,395.6495,
10,0.3970307,[0.99998206 1.        ],0.71356124,[0.99998206 1.        ],1.6845059,,4.7139716,,20.729628,[1.       0.853088],42.000145,[1.       0.853088],128.03406,,405.04553,
11,0.3774782,[0.9999918 1.       ],0.6802403,[0.9999918 1.       ],1.7082167,,4.8114953,,20.354788,[1.         0.85045296],41.615307,[1.         0.85045296],127.558014,,405.04,
12,0.39992917,[1.         0.99987906],0.724593,[1.         0.99987906],1.726794,,4.849529,,21.993464,[1.        0.8438835],43.69217,[1.        0.8438835],132.6322,,417.30167,
