,info
start_date,2026-06-01_04-13-56
model,CollisionAvoidance
layout,0
seed,2
ckpt,
algorithm,PPO_JAX
probability_bound,0.8
local_refinement,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,False
exp_certificate,False
status,success
total_CEGIS_time,135.877203
verify_samples,40000
verify_samples_naive,0
