iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.6473129,[0.9980389  1.         0.99792904],6.0418744,[0.9980389  1.         0.99792904],2.3481934,,9.976139,,22.027424,[1.        0.9995423 0.9999209],117.325615,[1.        0.9995423 0.9999209],111.02276,,713.65686,
1,1.6473129,[0.9980389  1.         0.99792904],6.0418744,[0.9980389  1.         0.99792904],2.3481934,,9.976139,,15.416286,[0.9998847  1.         0.99900436],44.791405,[0.9998847  1.         0.99900436],189.49104,,1086.8975,
2,1.6473129,[0.9980389  1.         0.99792904],6.0418744,[0.9980389  1.         0.99792904],2.3481934,,9.976139,,9.362646,[0.9995597  1.         0.99985236],16.866577,[0.9995597  1.         0.99985236],208.15367,,1127.6882,
3,0.77731895,[0.9998913 1.        0.9999525],2.5916917,[0.9998913 1.        0.9999525],3.5603082,,18.888002,,10.885501,[0.9999226 1.        0.998685 ],16.842606,[0.9999226 1.        0.998685 ],227.80196,,1185.8779,
4,0.3518417,[0.99986595 0.9999906  1.        ],1.079143,[0.99986595 0.9999906  1.        ],3.702393,,21.45003,,10.662398,[1.         0.99975735 0.99953353],15.876587,[1.         0.99975735 0.99953353],307.0401,,1613.3724,
5,0.28399155,[0.9998453 1.        0.9999185],0.8455843,[0.9998453 1.        0.9999185],3.6151488,,21.42615,,11.350799,[0.99942696 1.         0.99712104],16.367146,[0.99942696 1.         0.99712104],396.20053,,2080.5103,
