iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,3.928693,[1.        0.9980575],8.859978,[1.        0.9980575],4.283093,,10.003401,,16.536276,[1.        0.9574632],47.95151,[1.        0.9574632],49.108925,,167.37474,
1,3.928693,[1.        0.9980575],8.859978,[1.        0.9980575],4.283093,,10.003401,,21.535154,[0.99995255 1.        ],55.33064,[0.99995255 1.        ],77.473305,,252.33414,
2,3.928693,[1.        0.9980575],8.859978,[1.        0.9980575],4.283093,,10.003401,,22.455145,[1.        0.9999274],56.14988,[1.        0.9999274],87.22426,,281.4129,
3,4.6458683,[0.9961329 1.       ],10.184228,[0.9961329 1.       ],5.2356853,,12.1253195,,24.278107,[0.99994487 1.        ],59.55084,[0.99994487 1.        ],93.78946,,299.3014,
4,5.2024508,[0.98882127 1.        ],11.073228,[0.98882127 1.        ],6.025703,,13.759757,,24.871971,[0.9997756 1.       ],60.63346,[0.9997756 1.       ],95.941185,,305.41913,
