iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,15.305792,[1.        0.9636572],44.6236,[1.        0.9636572],46.326008,,159.84541,
1,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,9.2208,[1.       0.992533],26.61091,[1.       0.992533],39.08206,,136.2502,
2,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,4.944748,[1.         0.99990034],14.312428,[1.         0.99990034],30.395489,,108.02405,
3,4.022443,[1.         0.83836806],6.4252,[1.         0.83836806],4.9048424,,9.197967,,3.4652731,[1.        0.9999494],9.8509865,[1.        0.9999494],25.939526,,92.781235,
4,2.999445,[1.         0.89918494],4.878585,[1.         0.89918494],3.9524198,,7.867409,,2.9112146,[1.         0.99971807],8.071317,[1.         0.99971807],24.03341,,85.82116,
5,2.3618972,[1.        0.9460421],3.8913999,[1.        0.9460421],3.3202233,,6.8963575,,3.1879635,[1.        0.9885972],8.36548,[1.        0.9885972],26.193348,,92.67085,
6,1.9022596,[1.        0.9924283],3.185108,[1.        0.9924283],2.9258277,,6.4069734,,3.939506,[1.         0.96585155],9.447534,[1.         0.96585155],30.592287,,106.21267,
7,1.3489076,[1.        0.9999481],2.3212378,[1.        0.9999481],2.33308,,5.440285,,8.245814,[1.        0.9312857],16.377377,[1.        0.9312857],37.976227,,121.37651,
8,0.5442977,[0.99995023 1.        ],1.0364401,[0.99995023 1.        ],1.7149061,,4.767318,,16.840601,[1.         0.86695224],34.08692,[1.         0.86695224],79.42965,,243.92299,
9,0.31248724,[1.        0.9999111],0.6038075,[1.        0.9999111],1.3934413,,4.054765,,21.252092,[1.         0.83638954],42.68277,[1.         0.83638954],105.225426,,318.53232,
10,0.34795022,[1.        0.9999998],0.6458327,[1.        0.9999998],1.2663321,,3.5943809,,21.51988,[1.         0.82744664],43.5457,[1.         0.82744664],110.092606,,334.49338,
11,0.32493016,[1.         0.99991345],0.5996249,[1.         0.99991345],1.2247082,,3.4848766,,21.102793,[1.      0.83746],43.03927,[1.      0.83746],110.36022,,336.9547,
12,0.32423592,[1.        0.9999852],0.5998687,[1.        0.9999852],1.2650483,,3.6189659,,21.7685,[1.        0.8331991],43.93792,[1.        0.8331991],115.634605,,353.26126,
