iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,50.259644,[1.        0.9768381 0.9999607],265.47116,[1.        0.9768381 0.9999607],164.31772,,1031.5271,
1,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,18.30716,[1.         0.99984777 0.9997707 ],87.12727,[1.         0.99984777 0.9997707 ],106.03396,,671.9019,
2,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,11.883856,[0.9999399  1.         0.99978775],49.81639,[0.9999399  1.         0.99978775],94.12148,,590.8498,
3,0.6019033,[1.        0.9999218 0.9999787],2.253007,[1.        0.9999218 0.9999787],1.2947327,,6.164108,,8.93513,[0.9999894 0.9999599 1.       ],34.84027,[0.9999894 0.9999599 1.       ],84.50163,,530.20044,
4,0.42622095,[0.99984986 1.         0.9997979 ],1.4599454,[0.99984986 1.         0.9997979 ],1.5062495,,7.488121,,7.3910403,[0.9999313 0.999841  1.       ],26.532125,[0.9999313 0.999841  1.       ],77.21373,,481.91516,
5,0.4254237,[1.        0.999971  0.9998141],1.3433629,[1.        0.999971  0.9998141],2.0185852,,10.049373,,6.7183514,[0.99983454 1.         0.999418  ],21.913473,[0.99983454 1.         0.999418  ],77.17227,,478.93927,
6,0.4880992,[0.99995226 1.         0.9997874 ],1.4631343,[0.99995226 1.         0.9997874 ],2.5371797,,12.4714575,,6.284519,[1.         0.99974567 0.99769837],18.927704,[1.         0.99974567 0.99769837],77.64741,,475.2256,
7,0.49729002,[1.        0.9999183 0.9996109],1.4075186,[1.        0.9999183 0.9996109],2.8118315,,13.716564,,5.887091,[1.         0.99976027 0.99900365],16.88301,[1.         0.99976027 0.99900365],79.20916,,485.533,
