,info
start_date,2026-06-02_19-00-39
model,MyPendulum
layout,0
seed,3
ckpt,
algorithm,PPO_JAX
probability_bound,0.8
local_refinement,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,False
exp_certificate,False
status,success
total_CEGIS_time,209.538106
verify_samples,19600
verify_samples_naive,0
