iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,4.113389,[1.         0.99871624],8.609546,[1.         0.99871624],4.5053477,,9.990638,,16.438519,[1.        0.9588124],47.7804,[1.        0.9588124],49.32847,,168.13278,
1,4.113389,[1.         0.99871624],8.609546,[1.         0.99871624],4.5053477,,9.990638,,21.627625,[0.9998281 1.       ],55.393158,[0.9998281 1.       ],77.55265,,252.67332,
2,4.113389,[1.         0.99871624],8.609546,[1.         0.99871624],4.5053477,,9.990638,,22.088224,[0.99990994 1.        ],54.986195,[0.99990994 1.        ],90.50971,,296.39667,
3,4.863912,[0.9990298 1.       ],9.848184,[0.9990298 1.       ],5.5937204,,12.282963,,23.81933,[1.         0.99985623],58.30168,[1.         0.99985623],96.170265,,311.46838,
4,5.442735,[0.9909109 1.       ],10.752389,[0.9909109 1.       ],6.4735856,,14.141764,,24.232418,[1.        0.9995954],58.93318,[1.        0.9995954],97.95965,,316.57077,
5,5.441489,[0.9985693 1.       ],10.780821,[0.9985693 1.       ],6.470566,,14.14644,,24.144598,[0.99915236 1.        ],58.723305,[0.99915236 1.        ],97.8554,,316.68222,
