iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,14.947737,[1.        0.9690188],43.922295,[1.        0.9690188],45.940655,,157.59781,
1,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,9.641857,[1.        0.9680476],26.85296,[1.        0.9680476],41.56962,,143.44429,
2,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,5.0220213,[1.         0.99978685],14.125628,[1.         0.99978685],31.609692,,111.47299,
3,4.2640085,[1.         0.91403925],6.728783,[1.         0.91403925],5.26163,,9.682767,,3.549024,[1.         0.99937433],9.885656,[1.         0.99937433],26.138216,,92.40223,
4,3.2774272,[1.      0.97911],5.263606,[1.      0.97911],4.370655,,8.524105,,3.0918636,[1.        0.9999494],8.360992,[1.        0.9999494],26.935947,,94.72958,
5,2.6835296,[0.99999535 1.        ],4.3605843,[0.99999535 1.        ],3.7679677,,7.5907106,,3.5510077,[1.        0.9821078],8.839701,[1.        0.9821078],30.841412,,107.50052,
6,2.1330254,[0.9999008 1.       ],3.5269225,[0.9999008 1.       ],3.2265184,,6.797457,,4.7812033,[1.         0.96020514],11.384319,[1.         0.96020514],39.47341,,135.79837,
7,1.2878264,[1.        0.9998265],2.2081716,[1.        0.9998265],2.4316673,,5.616162,,12.050443,[1.         0.89659107],23.997286,[1.         0.89659107],62.206245,,194.53151,
8,0.57533705,[1.        0.9997883],1.0044492,[1.        0.9997883],1.6120437,,4.1392884,,18.069916,[1.         0.88149196],37.273815,[1.         0.88149196],90.550934,,281.66553,
9,0.36484015,[1.       0.999985],0.65499914,[1.       0.999985],1.5794122,,4.3334374,,20.509836,[1.         0.88243335],41.857105,[1.         0.88243335],106.435,,328.36783,
10,0.37842774,[1.         0.99992305],0.66704494,[1.         0.99992305],1.5399555,,4.197944,,20.799116,[1.         0.88260204],42.495213,[1.         0.88260204],107.626785,,331.45126,
11,0.3876922,[1.         0.99995005],0.6797534,[1.         0.99995005],1.4983739,,4.0511255,,20.405062,[1.       0.872214],41.72871,[1.       0.872214],107.46678,,332.87668,
12,0.34154812,[0.99723685 1.        ],0.61498857,[0.99723685 1.        ],1.4904157,,4.1209517,,20.576319,[1.        0.8754998],41.887493,[1.        0.8754998],108.16707,,334.51306,
13,0.34579423,[1.        0.9996755],0.62408286,[1.        0.9996755],1.5124507,,4.1923795,,21.581158,[1.       0.869039],43.166214,[1.       0.869039],111.072815,,340.6108,
