iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.6473129,[0.9980389  1.         0.99792904],6.0418744,[0.9980389  1.         0.99792904],2.3481934,,9.976139,,22.036592,[0.99961454 0.9995987  1.        ],117.6058,[0.99961454 0.9995987  1.        ],110.88502,,714.89484,
1,1.6473129,[0.9980389  1.         0.99792904],6.0418744,[0.9980389  1.         0.99792904],2.3481934,,9.976139,,15.516089,[0.99966866 1.         0.9980662 ],44.800144,[0.99966866 1.         0.9980662 ],188.6347,,1080.3584,
2,1.6473129,[0.9980389  1.         0.99792904],6.0418744,[0.9980389  1.         0.99792904],2.3481934,,9.976139,,9.216671,[1.        0.999948  0.9994195],16.895384,[1.        0.999948  0.9994195],206.99918,,1125.9257,
3,0.79818684,[0.9999093 1.        0.9999609],2.6600626,[0.9999093 1.        0.9999609],3.6237993,,19.188044,,10.882113,[0.9997505  0.99972105 1.        ],17.291063,[0.9997505  0.99972105 1.        ],228.90683,,1197.1123,
4,0.34759668,[0.99997   1.        0.9999397],1.0712638,[0.99997   1.        0.9999397],3.6179297,,20.934566,,10.525656,[1.         0.99945337 0.9985959 ],15.779782,[1.         0.99945337 0.9985959 ],298.77542,,1554.346,
5,0.29336333,[0.99992746 1.         0.99996233],0.8733699,[0.99992746 1.         0.99996233],3.6660635,,21.598457,,10.962197,[1.        0.9995294 0.9998477],15.5828,[1.        0.9995294 0.9998477],363.33722,,1885.7893,
