,time [s]
initialize,0.181084
pretrain_policy,23.117172
initialize_CEGIS,0.037
iter0_learner,9.853696
iter0_plot,0.329723
iter0_verifier,6.59883
iter0_process_counterexamples,0.017453
iter1_learner,11.689722
iter1_plot,0.013468
iter1_verifier,0.254365
iter1_process_counterexamples,0.016916
iter2_learner,6.995029
iter2_plot,0.0133
iter2_verifier,0.17925
iter2_process_counterexamples,0.019439
iter3_learner,12.026855
iter3_plot,0.013248
iter3_verifier,0.17069
iter3_process_counterexamples,0.018899
iter4_learner,12.024974
iter4_plot,0.013405
iter4_verifier,0.170556
iter4_process_counterexamples,0.018171
iter5_learner,12.042304
iter5_plot,0.013846
iter5_verifier,0.17692
iter5_process_counterexamples,0.017542
iter6_learner,12.092569
iter6_plot,0.013933
iter6_verifier,0.691295
iter6_process_counterexamples,0.017565
iter7_learner,12.128482
iter7_plot,0.01425
iter7_verifier,28.630262
