iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,15.0374775,[1.        0.9684917],44.04935,[1.        0.9684917],45.976444,,157.69853,
1,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,9.745414,[1.        0.9655839],27.04348,[1.        0.9655839],41.59089,,143.14818,
2,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,5.025962,[1.         0.99994534],14.147833,[1.         0.99994534],31.488321,,110.91555,
3,4.11657,[1.        0.8855124],6.5805836,[1.        0.8855124],4.9631686,,9.200921,,3.5174243,[1.        0.9997354],9.81279,[1.        0.9997354],25.985682,,91.83255,
4,3.1101713,[1.        0.9505373],5.0581284,[1.        0.9505373],3.9952211,,7.801015,,3.0641696,[1.         0.99970806],8.276421,[1.         0.99970806],27.134396,,95.435715,
5,2.470184,[1.         0.99935555],4.0871415,[1.         0.99935555],3.234082,,6.480016,,3.5937037,[1.        0.9743255],8.97798,[1.        0.9743255],31.687634,,110.39231,
6,1.9787511,[0.9999532 1.       ],3.3329828,[0.9999532 1.       ],2.8326197,,5.9791684,,5.509391,[1.         0.94402885],12.701807,[1.         0.94402885],42.049473,,142.59593,
7,1.0322802,[0.99989104 1.        ],1.8335185,[0.99989104 1.        ],1.6412369,,3.7282214,,13.029097,[1.        0.9084104],25.135475,[1.        0.9084104],68.37148,,212.47209,
8,0.41189155,[1.         0.99999017],0.78937995,[1.         0.99999017],1.0386045,,2.7130697,,19.338566,[1.         0.87459874],38.46191,[1.         0.87459874],102.2881,,318.7772,
9,0.3306855,[1.        0.9999369],0.6187425,[1.        0.9999369],1.0097888,,2.707534,,20.413696,[1.        0.8604146],41.53381,[1.        0.8604146],112.0468,,349.09723,
10,0.35982656,[1.         0.99982643],0.6622136,[1.         0.99982643],1.0695647,,2.8521245,,20.506697,[1.         0.84505135],41.782124,[1.         0.84505135],112.51446,,350.61575,
