iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,22.121708,[0.99930537 0.99992687 1.        ],117.8972,[0.99930537 0.99992687 1.        ],112.383385,,724.22046,
1,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,15.567023,[0.9996308 1.        0.9991748],44.814648,[0.9996308 1.        0.9991748],191.05495,,1096.2424,
2,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,9.2920885,[0.99755013 0.99947363 1.        ],17.069374,[0.99755013 0.99947363 1.        ],201.98492,,1093.3704,
3,0.77273434,[1.         0.99995303 0.9999949 ],2.4783497,[1.         0.99995303 0.9999949 ],4.003428,,21.667505,,10.877062,[0.99984115 1.         0.99945265],16.760212,[0.99984115 1.         0.99945265],230.24458,,1201.2256,
4,0.35393912,[0.9999608 1.        0.9998523],1.0644182,[0.9999608 1.        0.9998523],3.584921,,20.953125,,10.365001,[1.         0.9996702  0.99949837],15.710328,[1.         0.9996702  0.99949837],267.60455,,1397.771,
5,0.26398346,[1.         0.99999225 0.99995124],0.7559682,[1.         0.99999225 0.99995124],3.6064653,,21.671267,,11.444639,[1.        0.9999965 0.999731 ],16.250622,[1.        0.9999965 0.999731 ],359.456,,1865.8511,
