,info
start_date,2024-12-29_10-57-10
model,LinearSystem
layout,1
seed,5
ckpt,
algorithm,PPO_JAX
probability_bound,0.999999
local_refinement,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,False
status,success
total_CEGIS_time,164.907016
verify_samples,90000
verify_samples_naive,0
