iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.1173503,[1.        0.9999831 0.9990818],7.4528766,[1.        0.9999831 0.9990818],2.5409184,,9.980586,,50.087933,[1.        0.9758673 0.9994925],264.85513,[1.        0.9758673 0.9994925],163.57344,,1026.2241,
1,2.1173503,[1.        0.9999831 0.9990818],7.4528766,[1.        0.9999831 0.9990818],2.5409184,,9.980586,,17.877487,[0.99984586 0.999915   1.        ],84.865814,[0.99984586 0.999915   1.        ],105.431915,,670.7145,
2,2.1173503,[1.        0.9999831 0.9990818],7.4528766,[1.        0.9999831 0.9990818],2.5409184,,9.980586,,11.523362,[1.        0.9999256 0.9999482],48.21689,[1.        0.9999256 0.9999482],90.43457,,571.0614,
3,0.57735556,[1.         0.99997675 0.99971753],2.1759048,[1.         0.99997675 0.99971753],1.6611975,,8.416425,,8.5545845,[1.         0.99997526 0.9999361 ],33.69644,[1.         0.99997526 0.9999361 ],80.63773,,510.5218,
4,0.45119908,[1.        0.9999675 0.9999641],1.5489643,[1.        0.9999675 0.9999641],2.0118434,,10.458209,,7.5025587,[1.         0.99985594 0.9997794 ],27.037409,[1.         0.99985594 0.9997794 ],78.35691,,490.83426,
5,0.43776146,[0.99996006 1.         0.9998905 ],1.3945862,[0.99996006 1.         0.9998905 ],2.4184773,,12.553882,,6.4811993,[1.        0.9996528 0.9998909],21.58016,[1.        0.9996528 0.9998909],77.86273,,485.31543,
6,0.4501809,[0.99993056 1.         0.99991196],1.3757493,[0.99993056 1.         0.99991196],2.6828573,,13.825604,,6.0718584,[0.99997973 1.         0.9982913 ],18.470161,[0.99997973 1.         0.9982913 ],82.036125,,509.5983,
7,0.51145303,[1.         0.99991614 0.9987926 ],1.4773073,[1.         0.99991614 0.9987926 ],3.4274163,,17.544,,5.709693,[1.        0.9996766 0.9954246],16.391783,[1.        0.9996766 0.9954246],83.272125,,512.23004,
8,0.48068583,[0.9997135 1.        0.9992157],1.3407189,[0.9997135 1.        0.9992157],3.4285111,,17.46364,,5.5145254,[1.         0.99992627 0.989281  ],14.950748,[1.         0.99992627 0.989281  ],89.02338,,550.6994,
9,0.4924897,[1.         0.999978   0.99492157],1.3147044,[1.         0.999978   0.99492157],3.8343086,,19.4172,,5.4518633,[1.        0.9994575 0.9806293],14.134815,[1.        0.9994575 0.9806293],92.57492,,570.0378,
