iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,4.113389,[1.         0.99871624],8.609546,[1.         0.99871624],4.5053477,,9.990638,,16.432043,[1.        0.9588925],47.77693,[1.        0.9588925],49.31554,,168.0627,
1,4.113389,[1.         0.99871624],8.609546,[1.         0.99871624],4.5053477,,9.990638,,21.629417,[1.        0.9999004],55.264717,[1.        0.9999004],77.772964,,252.88391,
2,4.113389,[1.         0.99871624],8.609546,[1.         0.99871624],4.5053477,,9.990638,,22.181345,[0.99979025 1.        ],55.229095,[0.99979025 1.        ],88.71688,,288.36288,
3,4.809036,[0.9985393 1.       ],9.796169,[0.9985393 1.       ],5.4743524,,12.035704,,23.96115,[0.9996569 1.       ],58.64841,[0.9996569 1.       ],93.8515,,301.6273,
4,5.4023376,[0.98918784 1.        ],10.722778,[0.98918784 1.        ],6.2989907,,13.703459,,24.038408,[1.        0.9999822],58.756172,[1.        0.9999822],94.106026,,301.60825,
5,5.407378,[0.9972844 1.       ],10.771509,[0.9972844 1.       ],6.3729916,,13.951561,,24.081161,[1.        0.9999721],58.700836,[1.        0.9999721],94.64897,,303.25143,
