iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,16.494041,[1.        0.9575851],47.8591,[1.        0.9575851],49.565197,,169.07745,
1,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,22.056473,[1.        0.9998502],56.422134,[1.        0.9998502],78.624115,,255.69939,
2,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,22.929436,[1.       0.999766],56.73271,[1.       0.999766],89.29245,,289.53964,
3,4.5710764,[0.9863636 1.       ],9.83073,[0.9863636 1.       ],5.3134575,,12.288267,,24.542189,[1.        0.9984271],59.674553,[1.        0.9984271],93.69162,,300.95004,
4,5.1833186,[0.9728491 1.       ],10.848691,[0.9728491 1.       ],6.1595216,,14.035892,,25.01681,[0.9999341 1.       ],60.63961,[0.9999341 1.       ],94.98616,,304.0083,
