iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,4.0432634,[1.         0.99652785],8.79945,[1.         0.99652785],4.380028,,10.000312,,16.446653,[1.        0.9587195],47.792816,[1.        0.9587195],49.626263,,169.33192,
1,4.0432634,[1.         0.99652785],8.79945,[1.         0.99652785],4.380028,,10.000312,,21.447327,[0.9992685 1.       ],54.919178,[0.9992685 1.       ],77.38162,,251.96425,
2,4.0432634,[1.         0.99652785],8.79945,[1.         0.99652785],4.380028,,10.000312,,21.947187,[1.        0.9999691],54.949642,[1.        0.9999691],85.20363,,275.89795,
3,4.7853093,[0.9986075 1.       ],10.180324,[0.9986075 1.       ],5.422957,,12.347147,,23.655731,[0.99935967 1.        ],58.092506,[0.99935967 1.        ],91.75994,,294.41742,
4,5.351365,[0.9907413 1.       ],11.144621,[0.9907413 1.       ],6.2143536,,14.005881,,23.820456,[0.99982214 1.        ],58.290375,[0.99982214 1.        ],92.67747,,297.18192,
