iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,16.471497,[1.        0.9579323],47.820526,[1.        0.9579323],49.547035,,169.1033,
1,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,22.190678,[0.9996874 1.       ],56.85984,[0.9996874 1.       ],78.390274,,254.90091,
2,3.9203026,[0.9993273 1.       ],8.432577,[0.9993273 1.       ],4.3378735,,9.99832,,23.019033,[0.99994123 1.        ],57.33591,[0.99994123 1.        ],90.466064,,293.89478,
3,4.611408,[0.9852801 1.       ],9.921614,[0.9852801 1.       ],5.3771086,,12.454135,,24.836155,[0.9998921 1.       ],60.631752,[0.9998921 1.       ],96.19144,,309.43524,
4,5.248114,[0.9646713 1.       ],10.958258,[0.9646713 1.       ],6.275101,,14.294299,,24.963764,[1.        0.9998058],60.718224,[1.        0.9998058],96.51296,,309.77188,
5,5.329921,[0.9750633 1.       ],11.101204,[0.9750633 1.       ],6.5262804,,14.995198,,25.716633,[1.        0.9998201],62.147984,[1.        0.9998201],99.094696,,316.96173,
