global_step,cegis_iteration,learner_epoch,batch,mesh_loss,total_loss,init_loss,unsafe_loss,decrease_loss,n_init_mean,n_unsafe_mean,n_target_mean,n_decrease_mean,n_decrease_min,n_decrease_max,valid_init_frac,valid_unsafe_frac,valid_target_frac,valid_decrease_frac,valid_decrease_centers
0,0,0,0,0.005,93.47931671142578,0.20523035526275635,0.9943488240242004,92.27973937988281,0.41766810417175293,0.3161832094192505,0.4290522336959839,0.3441113829612732,0.2246106117963791,0.4361785352230072,0.09090909361839294,0.22727273404598236,0.40909093618392944,0.8893280625343323,276.0
1,0,1,0,0.005,91.01110076904297,0.220228910446167,0.9927480220794678,89.79812622070312,0.41557058691978455,0.31401753425598145,0.4372400641441345,0.34768596291542053,0.2223227471113205,0.4382646381855011,0.13636364042758942,0.13636364042758942,0.4545454680919647,0.8675889372825623,276.0
2,0,2,0,0.005,89.21666717529297,0.20648160576820374,0.9436710476875305,88.06651306152344,0.4192984998226166,0.3197714388370514,0.4293688237667084,0.3415255546569824,0.22732242941856384,0.43488866090774536,0.09090909361839294,0.09090909361839294,0.1818181872367859,0.8748353123664856,276.0
3,0,3,0,0.005,87.06615447998047,0.21820296347141266,0.8988872766494751,85.94906616210938,0.415916383266449,0.307040274143219,0.4326176047325134,0.3437437415122986,0.23654744029045105,0.42632660269737244,0.09090909361839294,0.13636364042758942,0.3181818127632141,0.8722002506256104,276.0
4,0,4,0,0.005,84.9616928100586,0.2219422161579132,0.844425618648529,83.89532470703125,0.41589754819869995,0.30848047137260437,0.4269290566444397,0.34033092856407166,0.21221709251403809,0.419125497341156,0.09090909361839294,0.13636364042758942,0.40909093618392944,0.8764822483062744,276.0
5,0,5,0,0.005,82.64469146728516,0.23452723026275635,0.8072289228439331,81.60293579101562,0.4160361886024475,0.30571091175079346,0.43923747539520264,0.3432663083076477,0.21175964176654816,0.43866539001464844,0.09090909361839294,0.13636364042758942,0.3181818127632141,0.8814229369163513,276.0
6,0,6,0,0.005,80.79717254638672,0.23669515550136566,0.7561394572257996,79.80433654785156,0.4166337549686432,0.2953110337257385,0.4267999231815338,0.34353214502334595,0.24767515063285828,0.4228976368904114,0.09090909361839294,0.13636364042758942,0.5,0.883399248123169,276.0
7,0,7,0,0.005,79.19764709472656,0.24822324514389038,0.7477362155914307,78.20169067382812,0.4151381850242615,0.2920477092266083,0.4271601140499115,0.3376714289188385,0.20369663834571838,0.4440174996852875,0.09090909361839294,0.09090909361839294,0.40909093618392944,0.8596838116645813,276.0
8,0,8,0,0.005,77.55596923828125,0.23614414036273956,0.701563835144043,76.6182632446289,0.4119243621826172,0.29139024019241333,0.43408048152923584,0.33946317434310913,0.2207217961549759,0.4340117275714874,0.09090909361839294,0.13636364042758942,0.22727273404598236,0.8853754997253418,276.0
9,0,9,0,0.005,75.76300811767578,0.2718227505683899,0.6258460879325867,74.86534118652344,0.41195011138916016,0.27634096145629883,0.4276568591594696,0.33942243456840515,0.22036154568195343,0.43752798438072205,0.09090909361839294,0.27272728085517883,0.3181818127632141,0.8702239990234375,276.0
10,0,10,0,0.005,74.21758270263672,0.2694298326969147,0.6272144317626953,73.32093811035156,0.4132912755012512,0.2822830080986023,0.4310954511165619,0.3336350917816162,0.20620214939117432,0.4171535074710846,0.09090909361839294,0.1818181872367859,0.27272728085517883,0.8646245002746582,276.0
11,0,11,0,0.005,72.6794204711914,0.27253708243370056,0.5993620753288269,71.8075180053711,0.41430985927581787,0.2725564241409302,0.43164724111557007,0.32900092005729675,0.209112286567688,0.4181031286716461,0.09090909361839294,0.13636364042758942,0.27272728085517883,0.8712121248245239,276.0
12,0,12,0,0.005,71.3541259765625,0.2706810235977173,0.5818765759468079,70.50157165527344,0.41066062450408936,0.2793199419975281,0.4400355815887451,0.3371342718601227,0.206018328666687,0.4406808614730835,0.09090909361839294,0.09090909361839294,0.5,0.8883399367332458,276.0
13,0,13,0,0.005,69.92770385742188,0.26301267743110657,0.5147056579589844,69.14998626708984,0.41117337346076965,0.26668161153793335,0.43402785062789917,0.33450061082839966,0.2080938220024109,0.432094931602478,0.13636364042758942,0.13636364042758942,0.3181818127632141,0.8857048749923706,276.0
