,time [s]
initialize,0.003277
pretrain_policy,7.518707
initialize_CEGIS,0.17946
iter0_learner,3.161237
iter0_plot,0.095445
iter0_verifier,0.79865
iter0_process_counterexamples,0.023256
iter1_learner,3.616546
iter1_plot,0.00477
iter1_verifier,0.41074
iter1_process_counterexamples,0.024281
iter2_learner,2.485388
iter2_plot,0.004588
iter2_verifier,0.604968
iter2_process_counterexamples,0.024843
iter3_learner,2.695304
iter3_plot,0.004905
iter3_verifier,0.370211
iter3_process_counterexamples,0.025327
iter4_learner,2.675828
iter4_plot,0.004639
iter4_verifier,0.592619
iter4_process_counterexamples,0.024562
iter5_learner,2.69173
iter5_plot,0.004759
iter5_verifier,0.434755
iter5_process_counterexamples,0.023732
iter6_learner,2.698614
iter6_plot,0.004896
iter6_verifier,0.436647
iter6_process_counterexamples,0.023237
iter7_learner,2.721193
iter7_plot,0.004919
iter7_verifier,0.533602
iter7_process_counterexamples,0.024992
iter8_learner,2.719673
iter8_plot,0.004925
iter8_verifier,0.710684
iter8_process_counterexamples,0.024226
iter9_learner,2.787933
iter9_plot,0.004966
iter9_verifier,0.690458
iter9_process_counterexamples,0.024089
iter10_learner,2.779293
iter10_plot,0.00513
iter10_verifier,0.838418
iter10_process_counterexamples,0.02375
iter11_learner,2.796367
iter11_plot,0.005171
iter11_verifier,0.810935
iter11_process_counterexamples,0.023894
iter12_learner,2.752786
iter12_plot,0.005268
iter12_verifier,55.515396
