,time [s]
initialize,0.003675
pretrain_policy,8.003487
initialize_CEGIS,0.184182
iter0_learner,5.276918
iter0_plot,0.107542
iter0_verifier,0.835355
iter0_process_counterexamples,0.027661
iter1_learner,17.048916
iter1_plot,0.00487
iter1_verifier,0.435828
iter1_process_counterexamples,0.025211
iter2_learner,15.800643
iter2_plot,0.00533
iter2_verifier,0.522531
iter2_process_counterexamples,0.031571
iter3_learner,16.00462
iter3_plot,0.005058
iter3_verifier,0.449764
iter3_process_counterexamples,0.025521
iter4_learner,15.844271
iter4_plot,0.006308
iter4_verifier,0.477229
iter4_process_counterexamples,0.024656
iter5_learner,16.307524
iter5_plot,0.005305
iter5_verifier,0.498731
iter5_process_counterexamples,0.030434
iter6_learner,16.712914
iter6_plot,0.006042
iter6_verifier,0.640172
iter6_process_counterexamples,0.0273
iter7_learner,16.734516
iter7_plot,0.006498
iter7_verifier,0.841206
iter7_process_counterexamples,0.029101
iter8_learner,16.603144
iter8_plot,0.005284
iter8_verifier,0.852088
iter8_process_counterexamples,0.02684
iter9_learner,16.200985
iter9_plot,0.006563
iter9_verifier,0.80207
iter9_process_counterexamples,0.026605
iter10_learner,16.281147
iter10_plot,0.005624
iter10_verifier,0.758098
iter10_process_counterexamples,0.028254
iter11_learner,15.181485
iter11_plot,0.00532
iter11_verifier,50.87937
