iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,22.20837,[1.        0.9980641 0.9997124],118.22462,[1.        0.9980641 0.9997124],111.505974,,715.34644,
1,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,15.6311245,[1.         0.99999976 0.99874914],44.971527,[1.         0.99999976 0.99874914],195.8007,,1126.5603,
2,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,9.328222,[0.9988204 1.        0.9977216],16.76697,[0.9988204 1.        0.9977216],206.18385,,1114.8179,
3,0.78711057,[0.99992895 0.99989915 1.        ],2.528846,[0.99992895 0.99989915 1.        ],4.0260415,,21.756207,,10.964952,[0.9997009  0.99967647 1.        ],17.269493,[0.9997009  0.99967647 1.        ],230.56715,,1211.2646,
4,0.3491509,[0.999878  0.9999366 1.       ],1.0475179,[0.999878  0.9999366 1.       ],3.5901842,,21.009436,,10.364373,[0.9998515  1.         0.99974525],15.757689,[0.9998515  1.         0.99974525],275.942,,1457.8688,
5,0.3044395,[0.9999098 0.9999902 1.       ],0.8815729,[0.9999098 0.9999902 1.       ],3.7267447,,22.127508,,11.614744,[1.         0.9998813  0.99974877],16.847635,[1.         0.9998813  0.99974877],333.639,,1735.1373,
