,time [s]
initialize,0.003503
pretrain_policy,7.521695
initialize_CEGIS,0.170373
iter0_learner,4.769455
iter0_plot,0.092685
iter0_verifier,0.785215
iter0_process_counterexamples,0.026056
iter1_learner,15.168299
iter1_plot,0.004575
iter1_verifier,0.411248
iter1_process_counterexamples,0.024631
iter2_learner,13.872415
iter2_plot,0.004559
iter2_verifier,0.434849
iter2_process_counterexamples,0.026059
iter3_learner,14.04367
iter3_plot,0.004528
iter3_verifier,0.445808
iter3_process_counterexamples,0.02505
iter4_learner,14.10304
iter4_plot,0.004698
iter4_verifier,0.435188
iter4_process_counterexamples,0.024271
iter5_learner,14.026053
iter5_plot,0.004665
iter5_verifier,0.433193
iter5_process_counterexamples,0.0235
iter6_learner,14.048138
iter6_plot,0.004737
iter6_verifier,0.535746
iter6_process_counterexamples,0.023862
iter7_learner,14.271061
iter7_plot,0.005122
iter7_verifier,0.749787
iter7_process_counterexamples,0.025676
iter8_learner,15.157747
iter8_plot,0.005225
iter8_verifier,0.724774
iter8_process_counterexamples,0.024614
iter9_learner,14.417307
iter9_plot,0.005052
iter9_verifier,0.828807
iter9_process_counterexamples,0.025647
iter10_learner,14.294849
iter10_plot,0.00523
iter10_verifier,0.700861
iter10_process_counterexamples,0.02488
iter11_learner,14.239348
iter11_plot,0.005198
iter11_verifier,42.58938
