,info
start_date,2024-12-30_20-16-12
model,CollisionAvoidance
layout,0
seed,10
ckpt,
algorithm,PPO_JAX
probability_bound,0.999999
local_refinement,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,False
status,success
total_CEGIS_time,135.716158
verify_samples,40000
verify_samples_naive,0
